,dec,16ths-decimal,Inches,16ths-only
187,9.813173694094232,9.8125,9,13.0
188,9.505059710186897,9.5,9,8.0
189,9.198655633729143,9.1875,9,3.0
190,8.894171458769756,8.875,8,14.0
191,8.591815863552933,8.5625,8,9.0
192,8.291796067500634,8.3125,8,5.0
193,7.994317689194749,8.0,7,16.0
194,7.699584605456406,7.6875,7,11.0
195,7.40779881161893,7.4375,7,7.0
196,7.119160283090403,7.125,7,2.0
197,6.8338668383004615,6.8125,6,13.0
198,6.552114003125441,6.5625,6,9.0
199,6.274094876884699,6.25,6,4.0
200,6.000000000000009,6.0,6,0.0
201,5.7300172234086215,5.75,5,12.0
202,5.46433157981968,5.4375,5,7.0
203,5.20312515690201,5.1875,5,3.0
204,4.946576972490325,4.9375,4,15.0
205,4.694862851895353,4.6875,4,11.0
206,4.448155307401958,4.4375,4,7.0
207,4.206623420037802,4.1875,4,3.0
208,3.9704327236937065,4.0,3,16.0
209,3.739745091674955,3.75,3,12.0
210,3.5147186257614305,3.5,3,8.0
211,3.2955075478525497,3.3125,3,5.0
212,3.0822620942712753,3.0625,3,1.0
213,2.8751284127996346,2.875,2,14.0
214,2.6742484625163527,2.6875,2,11.0
215,2.4797599165051807,2.5,2,8.0
216,2.2917960675006324,2.3125,2,5.0
217,2.1104857365358107,2.125,2,2.0
218,1.9359531846549167,1.9375,1,15.0
219,1.7683180277508974,1.75,1,12.0
220,1.6076951545867395,1.625,1,10.0
221,1.4541946480564185,1.4375,1,7.0
222,1.3079217097395865,1.3125,1,5.0
223,1.168976587801673,1.1875,1,3.0
224,1.0374545082887927,1.0625,1,1.0
225,0.9134456098645618,0.9375,0,15.0
226,0.7970348820335822,0.8125,0,13.0
227,0.6883021068938611,0.6875,0,11.0
228,0.5873218044581581,0.5625,0,9.0
229,0.4941631815816834,0.5,0,8.0
230,0.40889008453118336,0.4375,0,7.0
231,0.3315609552278822,0.3125,0,5.0
232,0.2622287911943335,0.25,0,4.0
233,0.20094110923254505,0.1875,0,3.0
234,0.14773991285834853,0.125,0,2.0
235,0.10266166351427586,0.125,0,2.0
236,0.06573725558072141,0.0625,0,1.0
237,0.03699199520246488,0.0625,0,1.0
238,0.016445582945113557,0.0,0,0.0
239,0.004112100293312437,0.0,0,0.0
